Comment,Sentiment
as a member of the playstation community sending nothing but love,positive
wow this guy is such a remarkable minister and a breath of fresh air in a political scenario filled with religious politics and limitless screaming at each other tamil nadu citizens made the right choice,positive
i honestly hope that beginning part with the dun dun is actually the intro for the whole series cause thats hilarious,positive
it’s been so much fun watching azzy grow her channel and become successful we love you azzy  have a nice safe day,positive
i’ve watched this video like 10 times still never gets old,positive
more than 10 times i have watched this teaser but every single time makes me emotional  wakanda forever ,positive
your video is far more effective than my bio teachers whole year lecture,positive
i need help i have math 730 and i really sucked in reading with 430 i dont know how to get 650 a least english is not my first language,negative
subscribe or ill hurt your pinkie,negative
hey guys can you check out “memu aagamu” the new coke studio track it’s an indiankpop collab featuring allu arjun you will love it for sure ,positive
she looks too happy maybe she won lottery thats why prices dont matter to her,positive
seeing those flamin hot cheetos go to waste was such a heart wrenching moment for me,negative
if the president ripped up a document we taped it back togetheri never saw the intentional destruction of documents i saw documents handled in the ordinary course of business they might be defaced we fixed them how is ripping up a document considered to be in the ordinary course of business hes admitted that they were defaced,negative
it still amazes me how adult professionals continue to make excuses for the former potus let alone an adult who behaves more like a bad child than a leader of the free world,negative
there is definitely more to this story like in june the lawyer signed a document saying that was the last of the documents as well,positive
such an approachable manner of teaching craig thank you even as a refresher for me i just felt compelled to keep listening through am sure this has been extremely useful for introducing newcomers into coding no end,positive
imagine seeing nick and manny filming in disneyland must have been so cool for the people who were there that day ,positive
hey you youre not alone god is always with you even though you might not see him no matter what youre going through hes right beside you loving you as much as youve never imagined 3,positive
really simple explanation went through the first part in a breeze thanks looking forward to learning the subsequent parts,positive
estou viciada nessa música,positive
i think shes talking about software engineering education not computer science education math is an integral part of computer science because math is the language of science if you took math from computer science by definition you took science out of computer science which is quite bizarre,negative
it’s crazy how nobody has mention how big rodrigo been these past games he is an amazing player before the prem and he is finally showing his potential that he had since his valancia days,positive
adam smith should have been given a red card,negative
655 i’m still laughing at this part of the video,positive
good morning have a good day everyone ,positive
sad to see that in the name of entertainment we are spending so much on theater tickets that these actors are demanding 25 crores for a movie even highly educated proffesionals cas engineers doctors civil servants etc do not earn this kind of money in india after 10 year of service a simple logic if theses actors including the kumars khans devgans kapoors roshans etc start charging 10 to 50 lac per movie the theater ticket price will drop automatically and eventually we can start enjoying movie in the theaters with our families at a much lesser price these superstars have built their mansions worth 100 crores and secured the lifes of their children and grandchildren they are living kingsize life with our hard earned money i believe we better stick to ott or any other form of free entertainment which is easily available on youtube or any other app,negative
khan sir is sea of inspiration for every type of person eg student employee parants unemployed businessman entrepreneur leaders etc,positive
my son had botox injections in his legs for years to relax his muscles enough so he could wear splits he has cerebral palsy its crazy knowing that this life changing treatment is also the most dangerous poison,negative
my strength is with the family of the missing teen,negative
233 is my favorite song so darn catchy,positive
karl’s face was priceless after the horn ,positive
my spouse and i are adding a variety of stocksetf to my present holdings for the long term weve set aside 250k to start following inflationindexed bonds and stocks of companies with solid cash flows i believe it is a good time to capitalize on the market for longterm gains but it wouldnt hurt to know means of actualizing short term profit,positive
gives me peace thank you jesus for your peace,positive
nice one sir god blessed for your great explanationsi really need to know more about this class can you talk about the analis and horozontal vertical percentage i want to know more about them even the ratio i want to know more about them even equity these things are important to mesir can you upload tableau and explained how we should use it i have downloaded it but i dont really know how to work on it i need good explanations on it difficult class from the begining of the class thanks so much sir for your great explanations the course is a requirement in most university aslong as you are in the business field you will need to do it i know some students are taking it a lot great explanations sir,positive
i really don’t know if their house value could go up or down up with the amount of stuff they’ve installed or down because they’ve took about 25 of the walls out ,negative
my biology textbook is the worst thing ever written a full chapter takes only about a page and teaches nothing thank god for crash course,negative
this isnt the nintendo i grew up loving yeah because you werent paying attention back then easily your most cutting line to date,negative
friend video is well done  ,positive
i love lookums accent,positive
the counterbalance to deal with aerodynamic flutter is some really incredible biomechanics ive seen videos of flutter being tested on airplanes and its no joke that can quickly ruin your day,negative
you’re insane loved this video ya’ll are really making some of the best videos on this platform,positive
would be cool to see more sports getting in the game via updates would love to see waterpolo surfing kayaking as water based sports ice hockey skiïng and snowboarding as winter sports but also skating skateboarding basketball baseball as more summer based sports i could see a very special potential for other uses for the leg strap like keeping in balance in surfing and snowboarding making a triangle shape to break in skiïng and do some tricks like flips in skateboarding,positive
bro i just learned that the college im planning on attending next year also has japanese courses which ive wanted to do since middle school combining that with game development could lead me to working for a japanese developer like fromsoftware,positive
when he said his family couldnt afford the drinks in a packet when he was a kid and now hes travelling all over the world and has everything he likes i felt so good you have come a long way mikey cheers to you,positive
xbox is just going strong and its becoming the most preferred platform pretty quickly,positive
hey tanqr love the content tanqr keep it up,positive
who else has arachnophobia and literally died inside during the first clip,negative
drew not all these designs look perfect in this space designs all look perfect in the space  i love it im a big fan of your videos,positive
i just realized that in every video when zhc works by himself he wins all the time,positive
alternate titlei lived 100 days in a philosophical cast away your ideas never cease to entertain me as usual your story telling and intro animations beautiful building time lapses and absorbing narrations are all just flawless and on point another awesome video all round keep it up dude have a sub by the way i know the strange being that you speak of his name is barroom he comes from a old and distant time from the 20th of november 2011 and very far away if you know you know,positive
komma bhaiya ,positive
their faces its so funny to see 2 buffed up dudes talking like that and just joking around,positive
i do hope that some people in the us with some common sense know how dangerous the situation is they’re in,negative
make sure to smash that subscribe button for games wings and better special effects than the last airbender movie what special effects do you want to see next,positive
being jimmy’s friend is both a blessing and a curse lmao,positive
i love how when gibi asks for options she doesnt specify which one we pick for example she asks which one would you like then she says okay perfect and no matter what someone picks it seems really interactive also love the attention to detail with the airplane cups thanks so much for the relaxation and content you provide for us 3,positive
nothing hurts more than being on the last step and then messing up the algorithm,negative
i feel like the 765 doesn’t belong in this list at all almost unfair,negative
i’ll never understand opposing teams not helping a player outunawareness aside such a stupid thing help each other out,negative
you know what i cannoti repeat i cannot believe this ended this way where is the rest of the movie people ,negative
this guy never fails to entertain us,positive
dont ask me how i posted this 3 hours before the official apple announcement i am not a wizard i do not own a time machine please disregard all rumors saying i own a time machine,negative
i am so excited i am a sophomore in high school and feel in love with computer sciences back in 6th but now i have finally been able to use my logic skills to make many projects and started building my portfolio it has been a great trip and i cant wait until i get better,positive
i have a phd in ai and i can say that andrew is the best machine learningai educator i have ever seen on the field the deeplearning specialization is just invaluable for any interested learner in dl,positive
didn’t need the cdc to make that announcement we knew they didn’t do their job,positive
i love when andrew saidlook at what were doing now guys are just so bored,positive
eu amo demais essa música pqp ,positive
i would love the vbucks and the reason i think i deserve it is ive been subed since 400k and i love your videos,positive
you can literally buy almost everything in indonesias street food with 100 and of course they taste awesome,positive
thanks for keeping me in the loop with tate i always have hard time finding channels who cover his daytoday but in h3 i trust,positive
i have the yj yulong v2 and in my personal opinion i think it’s a pretty great cube to start out with,positive
625 not cute obviously the dog feels bad,negative
when it comes to investing diversification is key that’s why i engage in sectors based on projected growth there’s no shortcut to getting rich but there are smart ways to go about it,positive
everytime i watch austin and his team i feel like theyre a bunch of nerds assembled i love it ,positive
pawandeep played all instruments with soulful singing at same time ,positive
i used to listen to this all the time with relatives from my mums side back i’m 2014 and onwards so it’s so nostalgic for me d,positive
yeeees thank you for doing this really appreciate the effort and enjoy your content ,positive
full algebra playlist hope this helps with your review,positive
love the commentary from leko great to have lawrence with him they make a great pair would love to see leko on the main stream,positive
i like listening to smart people talking about stuff they know alot about,positive
the fake slide is unfair to the defense you pursue that and get penalized as a defender,negative
im hungarian i can assure you atilla is only seen as evil by those that are not hungarian horrible acts were made on both sides but his people had no home thanks to him now we do,negative
can we all just appreciate how wholesome chris is,positive
this cohost was amazing she made the show 10x more enjoyable i’d love to see her again amazing energy,positive
people i just don’t think people should be able to use it for cosmetic purposes scientists bold of you to assume we know how to do that,negative
so far the coolest thing i think ive seen in gamescom this year ,positive
the jags v texans one always kills me the db did exactly what you’re taught to do don’t go for the int just knock it down much more effective than trying to go up with an nfllevel receiver just so unlucky lmao,negative
i hate how underrated this man is but i lowkey like it at the same time,negative
the thing with drm like denuvo is that it literally pushed piracy more ive had a couple of friends with re 8 on pc that literally got the pirated version downloaded just cause it performs 100x better and for me personally i bought the ultimate version of dying light 2 i really enjoyed it but i had to lower settings cause i thought my pc couldnt handle it or something but then i tried out the cracked version and then all of a sudden the game runs like butter i hate denuvo and if used frequently on switch it will ruin games and even trust from the fanbases,negative
n3on no way bro x2 me makes swish and breaks my brothers ankles n3on cant even dribble,negative
i love how andrew always joins in on lexi’s challenges it makes it so interesting and hilarious they have such awesome chemistry,positive
i gotta say hats off to all the animators and editors that made this masterpiece,positive
ive been around for every console generation i remember thinking during the genesisturbografx era snes not out quite yet what games would be like when i was old and the kind of specs they would need obviously i had no idea what the specs really meant back then but i was thinking 256bit lol as for the cpu and 64bit is all we really need for that they have happily progressed faster than i had imagined looking just as good today if not better then i imagined things would look like 2025 years from now the 1990s and early 2000s with the massive clock speed increases and the advent of the gpu were the main things that took us to where we are hardware wise,positive
i got the job i went through a grueling 3round interview process and made the switch to a new industry into a position i am beyond excited about i was watching your videos and applying all your tips continually throughout my interview process thank you,positive
i found this lesson really absorbing how explicitly this video illustrates the key points to be borne in mind in an interview most advantageous lesson ive ever watched thanks to the entire team,positive
hi great video really gave some helpful insights im currently in university studying computer science as every single company in my city said its a requirement but im also going to be working on my own projects hopefully i can skip the stage of being employed and start my own company we can dream haha but yeah this has been helpful the information was concise and well presented good job and thank you,positive
as an introvert i find so much peace on this channel keep them coming,positive
great video and some nice tips this is a scary time for new investors but the best thing you can do is not to make decisions based on emotions this could actually be a good time to buy more of your high conviction stocks or crypto on a discount wealth is created during bear markets not bull markets if your portfolio is really effecting your mental health then delete the app and go for a walk let the market do its thing and have a long time horizon i buy and just trade long term more than ever i have made over 19 btc from day trading with karen gauvin in few weeks this is one of the best medium to backup your assets incase it goes bearish,positive
been waiting on this song since mid 2020 man ,positive
you really know how to edit and create games hope you continue youtube you are very under rated,positive
god i love the feeling i get from this anime once it has my 100 attention i live for these moments  shg4l,positive
saving this one for when im going to sleep since the first few minutes already made me so relaxed and sleepy ,positive
মিরাজ ভাই তুমাদের ঘরে একদিন জাব।,positive
i just love how theyre all getting money together living their best livessquad goals,positive
we can all agree he never disappoints us with his content,positive
lovely and funny video,positive
phil spencer said the day of the press conference welcoming bethesda into the fold that it was about making games available on platforms where game pass exist so this is not anything new hes staying consistent,positive
im gonna add myself to the many thank yous im one hour in and i already understood more than i did in a two days course i got from work you singlehandedly gave me the trust that even i can learn python and programming this video is worth gold to me right now thank you mosh,positive
thank you for the lack of basketball highlights,negative
this should be titled how to search for a literature review not how to write one,negative
i love how much time and effort u put into these and i wish u could cook a meal for me and this is the best asmr i seen in a while keep up the good work,positive
this is one of the best channels on youtube for sure what an indepth video on electric eels its fascinating what complex creatures they are i mean remotely controlling their prey is just next level stuff imagine what else is out there,positive
we the people are the rightful masters of both congress and the courts not to overthrow the constitution but to overthrow the men who pervert the constitution abe lincoln,negative
it is exciting to see this technology evolve but early days and well all these robots look a little freaky… ,positive
me dio risa cuando estaban hablando y riéndose antes de que dimash abriera la boca y emitiera el primer sonido se quedaron mudos esta es la capacidad que tiene dimash de cautivar al público sin decir una sola palabra es maravilloso esta es una composición de igor krutoy especialmente para dimash no tiene letra para que las personas de cualquier credo puedan disfrutarla y vaya que lo logra gracias por su sincera admiración al magnifico dimash ,positive
loved the first two and looking forward to the third a nice alternative to the fps shooters out there,positive
learning from the professionals thank you,positive
her personality sold me  she’s amazing,positive
this was so entertaining i had no idea the person behind dyson was a true genuine and passionate inventor and to see him speak so nicely about independent designers and the unfair problems they face was amazing,positive
mom wake your ass up for classes me oh nah nah nah nah nah na theres a meeting in my bed,negative
yeah i just choose my openings based on how cool the name is,positive
congratulations on 100m well deserved 3,positive
in kenya i experienced the same the kcse is the one exam that can make or break your life i slept for 5 hours a day lessons from 5 am to 8 pm it was stressful the pressure from parents and society is sometimes too much i am glad it is all gone,negative
jesus thats fucking shameful bitboy this is intimidation plain and simple im happy youre standing up for yourself like this atozy stay positive,negative
bro you did my boy wrong by calling him talentless hippy ,negative
getting that raven feel with your hair color from teen titans it looks rad love it ,positive
this is legitimately the only long sat prep video i could sit through all of the other people who make these videos have absolutely zero personality lol thank you for helping so many of us juniors i feel much more prepared now than when i took it back in december,positive
you have a very calming energy and i like that you take your time i like the subtle background music and how detailed you are not to mention how incredibly beautiful you look thank you for the effort and work you put into these videos,positive
after failing about 10 interviews i was desperate and depressed yours were some of the last interview tips videos i watched out of countless ones you make successful interviewing easy to digest understand but most importantly put into action thanks to you i’ve officially broken into the accountingfinance industry,positive
i did python tutorial after python tutorial and none of it ever stuck it wasnt until it really mattered at my job that i was pushed to learn basic computer science principles and not long after that python and i love every single part of it,positive
thank you so much sis tshepi the work you doing is amazing in the future will work with you,positive
it’s funny bc i went to high school with mikael we were both in the same grade but he’s actually the most successful kid that i know that came from our graduation class,positive
i feel like reading rushdies midnights children again now thankyou for the profound explanation cheers ,positive
did fbi agents also seize xerographic copies of top secret documents from the maralago abode,positive
my 3 year old requested this song were all vibing to it love it,positive
i want more videos on this please,positive
so i decided to google myself the other day not because of my ego but i heard that there’s a possibility that the company i applied for googles their employees often the first thing that comes up when you search my name is the place i volunteered for almost 4 years and a college campus that i didn’t attend does anybody have a similar problem and if so how do you fix this,negative
the dudes nodd when he was told to diversify his bonds is what killed me b,negative
it is exciting to see this technology evolve but early days and well all these robots look a little freaky… ,positive
the potential tropical storm passed thru here in merida yucatan a couple days ago was pretty fierce our strongest storm of the 2022 rainy season definitely needed to place objects that can become airborne in a safe place hopefully monterrey will get the much needed rains theyve been praying for,positive
i love how he tells us what went wrong and how to do it right,positive
tysm,positive
why is a teenage boy similar to helicase they both want to unzip your genes grins im speechless,negative
i always love these every word is a google image vids i miss them great work and thanks for this,positive
daisy dont say hi to lorelei i owe her money pov character goes to lorelei first and gives her a paper that says daisy and nothing else damn we savage,negative
440 isnt even the whole story the last time giancarlo stanton faced fiers he hit him in the face ending his season and prompting reconstructive surgery thats the reason he and now many baseball players wear face flaps on their helmets the very next time they face off he hits him again even if unintentional thats nuts,negative
absolutely fantastic graphics visuals effects and most the traditional vibe indian songsunique love from indian,positive
wow tomorrow is my test and i have been studying all summer this video was more helpful than all my summer studying combined i took a sat prep course at my school also i mean it thank you,positive
to the doubters out there it takes tremendous effort to be so skilled that you can reject offers this lucrative so dont judge this based on your experience just because youre still new and havent seen shit yet im only six months into learning but i already realize this field is so f wide and the needed skills just to be a jr developer are increasing daily props to you my dude ,positive
that shirtless guy nearly gave me a heart attack when the snake was coming and he was leaving the baby and so slow getting in the house to close the door if it wasn’t for the other guy who did everything faster it was going to end bad,negative
one of youtubes highest quality content channels chapeau,positive
he had posted 23k lectures so far woaw thank you very much for these so much respect for your passion in teaching sir youre totally going to be my online teacher this quarantine ,positive
when i was a kid back in 76 my teachers took away my cassette recorder they never gave it back the song i played was this one,negative
nice illustrations,positive
im watching this channel for 2 years and its so nostalgic to watch in 2022,positive
i’ve been allergy tested before but this one is way tinglier especially without the spikes and severe itchiness in my back,negative
great video like always ,positive
thats so weird hes been screaming he wanted transparency the whole time and now he doesnt want anybody to look at the documents he stole,negative
hope your nights have been well people i know i personally struggle alot daily with anxiety and such but its always best to find something that calms you down at the end of the day i hope those of you watching this for maybe your anxiety or insomnia find the necessary peace you need tonight struggle is just another path towards a new destination and you will meet the end eventually from one challenge to another we keep growing anyhow this message goes out to everyone i hope you are all doing well and are safe somewhere tonight sleep well ,positive
if you would like more information about what happened to families during this time a great book to read would be red scarf girl the author actually lived through the cultural revolution and the book is a retelling of what she lived through my english teacher actually made a unit covering the cultural revolution he went very indepth and explain a lot of what happened he also had us do an essay comparing mao and a dictator of our own choice it was very informative and i believe that more people should be taught about this dark side of history,positive
funny how apple hasn’t alerted me via their internal system yet and that i had to randomly come across this alert i am so over huge updates for apps i never use but cannot delete and the data being used in the background for ‘uninstalled’ apps but it is likely i was hacked two or so weeks ago i couldn’t find any information from apole to help me understand what was happening i have no more room to update on my macbook or ipad my new iphone is extremely frustrating and seems to have nothing like the convenient features of android phones methinks i am done being a slave to their gaslighting,negative
i feel you on the cost of the pro series controller i have one of the series 1 pro controllers which i bought used and frankly i was disappointed that after i had been using it a while the rubber on the sides began to warp and peel i had to buy third party replacement parts to swap out the little plates right there because xbox doesnt offer their own replacement parts which i find kinda lame considering the rubber warping was a fairly common issue to be honest i would prefer if they had an option to buy it with the plastic plates rather than the rubber ones cause that issue isnt going to go away after using the controller for an extended amount of time the paddles are nice and all but i can buy like 3 games for the cost or i can buy a third party controller from scrub for less and get the same functionality out of it but hey to each their own what i would really love is the ability to make a custom pro controller in their design lab i would pay extra for that but as it stands right now ill stick with my standard series x controller ,negative
im surprised that google have such aggressive deadlines considering them not having any noticeable new products the past few years in addition to the closure of many of their products,negative
thank you socks for making these videos you will forever be a happy memory,positive
multiplayer trophies tied to the platinum will always always be the worst,negative
moving over to ios from android in september looking at picking up the iphone 14 pro max if i can get a great deal at a later date im looking at adding airpods pro 1 or 2 was going to stick with android but due to the samsung s22 ultra being shipped with the exynos chip and throttling back performance in the uk its led me to switching to an iphone,positive
i love when jerian makes videos like this ,positive
i love all the interactions and laughs with everyone in this video personally i think j picked the best tech,positive
the case was brought to federal court only to have another year of freedom his side clearly had no proper counter arguments from the start pity the court of having to deal with this drama,negative
this is my definition of a teacher he shows so much passion in his teaching and its simplified for me to understand,positive
the pizza planet pizza being awful is just disney sticking to the bit since in universe its basically chuck e cheese,negative
its so sad to see the ones that were truly loved by their elderly owners they never meant to harm their fur babies,negative
great video as always loved the tv nestled within the gallery wall good idea also i love every opportunity to look at your living room you did a fabulous job on that room one of my favorites,positive
spending billions on space when we have much to do here on earth,positive
im absolutely stunned how much emotional i got with this speeches kind of like in the last public question im also doing a board game and im happy to hear that games take extremely long to port and that it is a rollercoaster of emotions and full of pitfalls to watch out for but as long as i keep looking back at my younger self who started my streamers ace project i cant make him sad and quit thanks for that amazing talk and all your effort you all put into it,positive
id die of a heart attack seeing a spider like that behind my clock,negative
this song makes me want to agree to the terms and services without reading them,positive
loved the first two and looking forward to the third a nice alternative to the fps shooters out there,positive
so first he never had it then the cult cried “planted documents” now he did have it but thinks it’s his………you can’t make this stuff upindict indict indict and indict ,negative
a felicidade dele,positive
the only one that legitimately peaked my interest was that vesper one,positive
airpods without stems would loose their character,negative
definitely more machine learning content on this channel id love to dive into it with your help,positive
this is such a good video arun the amount of research locations and editing that this video needed is enormous thank you for doing this ,positive
i couldnt have more love for this essayist and for this author who woke me up for good when i was just a kid in junior high i share his devotion to language and the free and organic use of it and of the wisdom of the ordinary people all over the world,positive
i would love some tips to decorate a small but high ceiling living room its been a struggle to find inspiration,positive
i’m getting really scared for this sat i usually get bs and the sat is my last good way to getting into a good college,negative
it was so satisfying hearing jane almost crying the fact that she randomly brought in race to the conversation says a lot of her character,positive
jay had whole lotta energy on this video ,positive
“the whole sat in general is a waste of time” finally someone said it,negative
the real definition of talent hats off to this man master at his work,positive
frank was a bomb ass album great lyrics with infectious beats and sassy themes amy was enjoying her music then and being a musician the fame and limelight was there yet after this album the critique and scrutiny awakened her many insecurities i guess sigh but what a talent she was great,positive
tingman greetings from the inventor and founder of the company thank you for my taste you made the highest quality video review of the cube thanks a lot ilya osipov,positive
i love the effect mrbeast has on people anyone who wins his challenges or gets free money always says any of the extra stuff will be given as gifts or donated,positive
pretty happy with the oneplus 9 camera is killer for sunny days on the beach the oneplus carbon fiber case makes it feel excellent in the hand,positive
ive owned both and the series s has a special place in my heart i love the x but unless youre rocking a tv that supports 4k120 w vrr the series s is just fine also its so tiny and its amazing what a quiet beast it is but definitely buy the storage expansion card regardless of which one you buy,positive
as a member of the nico community we need to get rid of her,negative
how is nikkie so good at makeup ,positive
hi kristen in your videos youve talked about grounding your furniture by using a large rug which looks great what if i have carpet is there anything i would need to incorporate to make the furniture appear grounded in this situation ,positive
music that isnt obnoxious no numbers no annoying narrator actually pretty cool tricks not clickbait a my guys love it,positive
this music is amazing god my heart stumbled upon them whilst searching guitar videos for lessons now im playing along,positive
pressure from the public how has the public put pressure on the judge pressure has come from media outlets how can americans help the judge understand that we dont need or want to see the affidavit in my opinion what americans want is for the dojfbi investigation to continue unimpeded and to continue without witness intimidation,negative
sethbling will make a sentient being using mario world code injection lol this whole stuff is super amazing love it d,positive
well explained sir i am very excited about the prospect of using cryptocurrency not just as a money equivalent but using it as a way to earn something as a result of doing some type of work,positive
i love this song,positive
you are life and time saver thank you  may god bless you,positive
thank you you have given me lots of awesome ideas on small and cost effective things i can do to stage houses i’m selling the staging part is extremely important it makes the houses more appealing to the eye and if they really like a certain piece and purchase the home i throw it in as a house warming gift it seem that some of the individuals commenting don’t know how to mute their volume or understand how some of these thing can in fact add monetary andor personal value to there home,positive
i think that some great halloween costumes for big family’s could be greece the movie star wars toy story different prisoners people from the 50s ghost busters movieboygirl or sea creatures,positive
you all worked so hard you all of course troys father i hope you get well soon,positive
i’m listening to this rn for a 6 hour study session my favorite to listen to it’s so peaceful,positive
here we are in the 20th century in the usa and education is a luxury something is very wrong with this picture thank you bernie for your deft combination of common sense and wisdom,negative
great movie i cried at the end praying for all the young girls who may be going through something like this keep your head up better days are coming ,positive
i love old movies about the history of america how it touched peoples lives teaches us life lessons ,positive
theory karl is a creation made by the dev that was supposed to help you but has gone wrong and is trying to hunt the players and scare them,negative
your vids are so inspiring for everyone to try there hardest and achieve there goals im not good at bedwars but you make me wanna practise every day,positive
work at a bank and take work home fired happened to me work as a president and take classified work home that could not was but could be stolen or used against the us technically by the books they’re supposed to be automatically safely assumed to be a traitor removed from any office and jailed for life technically speaking in a perfect world,negative
this movie also available which is dubbed one but best one is original  no one match vijay sethupathi but hritik gaves such a glimpse up ,positive
“don’t quit” is definitely one of the biggest pieces of advice for people wanting to break into the field took me a year and a half of that horrible trial and error learning quitting starting again and networking to finally land my da role and i don’t regret a second of that journey,positive
big thanks to tailorbrands for sponsoring this video use code “upflip40” for 40 off at check out click here to get your business started today,positive
i am always waiting to see your new videos the premiere option is great choice to do,positive
i’m a little disappointed that calisto protocol is gonna be crossgen it’s understandable because it’s been in development for a while,negative
i respect everyone who were involved in this seriously the best piece that ive ever seen on youtube hats off to well all love your videos,positive
i could have listened to more than an hour on this subject alone victorian literature is an enormously broad topic with writers as diverse as emily bronte and joseph conrad id love to see you do a more expanded version,positive
lets hope the next generation has a chance,positive
it’s good to share “ideas” yet what really matters to have a successful business is the execution and this is something that no single video not even mine can teach it takes experience trying learning never giving up adapting until you get the right execution strategy just leaving a honest opinion here  thank you for the video,positive
só eu imaginei essa interação funcionário 1 poderíamos fazer um modelo 3d do zero dessa personagem e manter a personalidade destrutiva dela marvel mas isso custaria muita grana principalmente para uma série então não funcionário 2 poderíamos esticar a imagem dela e botar um filtro de cor verde algo simples sem gastar nada marvel perfect ,positive
just heard this on the radio its very catchy  i like it ,positive
i absolutely love how chaos is used instead of being like an apocalypse or something the chaos is presented as a huge jumble of culture love it,positive
felt like this was a tech startup more than a coffee shop this guy is so well organized and passionate about his business,positive
so many factors come to play to sustain trade momentum of course sir richard friedman brings to all a unique positive incentive policies market expansion and strong global demand we believe this factors combined with other market technical forces have triggered a significant reduction in the market’s implied risk premium for all assets,positive
keep up the fight ms cheney country over party,positive
mr ptr is very honest and good person and financial minister tamil nadu we proud ,positive
such a simple but great idea the best inventions are the ones that make you go why didnt i think of that,positive
this guy is 8 and talks very good im straight up crying for him,positive
this is probably my favorite game company thank you for making this,positive
great advice all of it im one of those you mentioned near then end with a medical condition sleep isnt rejuvenating for some no matter how much we get working towards good sleep habits is still helpful as it regulates our lives and helps us pace what minimal energy we have so if youre reading this comment no matter if youre chronically ill like i am or just a tired person without a debilitating illness practice good sleep habits be patient itll help,positive
lamda i feel like im falling forward into an unknown future that holds great danger well thats the exact nightmares i had when i was 36 years old,negative
lets just take a moment to appreciate how much effort he puts into making us want to jump off a cliff ,positive
i wonder if the harpy calls werent only used to identify primates without a response but to actually wear down their awareness overtime by conditioning them to expect calls before seeing the eagle we might see more of those mixups and mindgames if we observed them in areas where primates lived alongside eagles for more than a year,negative
cant thank youfor all these videos it helped me get out of my fear of chemistry,positive
the humor and jokes of ryan is just top tier easily one of the best comedic gaming youtubers,positive
536 ad is the estimated timeframe that the krakatoa volcano experienced an extremely massive eruption that caused a column of smoke ash and debris 13 miles high so much material was ejected into the atmosphere that it shrouded the earth causing temperature drops and ensuing human suffering krakatoa would erupt massively again around 1200 and the most recent climatechanging eruption was in the 1880s the 1880s eruption was estimated to be equivalent to 160 megatons the tsar bomba was a measly 57 megatons in comparison,negative
i obejct to her saying pence was a hero not because i dont think he did the right thing but rather he had no legal alternative this is like saying pence is a hero for not committing burglary today,negative
pov he solved a cube from 1980 faster then you solve the best cube in world,positive
oh my dear this ted talk changed my life for ever im dealing with my focus since years and nobody could help me to improve it this guy did thank you so much,positive
“too lazy to make ice cubes” bro you pour water in a tray and leave it in a freezer that’s apl,negative
is there anybody out there lyrics i climb the rooftops every morning and search for life there down below but there is nothing out there for me there is nothing out there to see i send a signal for survivors requesting help on where to go but there is nobody else to hear the only answer i get is fear cause every time that i return to this place i once called home yes every time the walls cry out youre the last one youre alone oh – is there anybody out there there must be someone else like me oh – is there anybody out there in the cold come raise your voice and set me free i wander streets that once were crowded im searching houses that were homes but there is nothing out there for me there is nothing out there to see im fighting off the dread that haunts me but in my empty heart it grows cause there is nobody else to hear the only answer i get is fear and every time i raise my head panic stares me in my face yes every time i try to think i get trapped inside a maze oh – is there anybody out there there must be someone else like me oh – is there anybody out there in the cold come raise your voice and set me free oh – is there anybody out there there must be someone else like me oh – is there anybody out there in the cold come raise your voice and set me free,negative
exciting terrifying all in one always interested in seeing advances in robotics,positive
puri is the number one director than than all among telugu directors including rajamouli sir,positive
great lesson true words,positive
i just love coming back to these videos like twice a semester and understanding the jokes a little bit more each time,positive
online chess is far inferior to normal chess i can’t flip the board in anger,negative
as a liverpool fan i have to say that i admire how ten hag approached this game he is great to listen to honest and intelligent not afraid to leave out some big egos for the greater interest of the team respect,positive
thanks thomas for being so transparent in your journey as a gamedev you level the playing field by showing us that the grass is not always greener on the other side you expose the struggles and show us encouraging ways to conquer the challenges along the way,positive
a business that solves problems will never go out of market this is the best takeaway thank you for that lovely conclusion at the end,positive
the nostalgia of the 4k videos is back theyre really amazing to watch especially with the mic brushing it always puts me to sleep thank you so much gibi ,positive
the socalled “turtle snake” 1024 is a hoax the only thing real was the blurred out fish guts the rest was said most likely to be cardboard andor papiermâché,negative
dude didnt even care much to study and still got a perfect score hes a natural genius,positive
the fact chris paul knew that rule is impressive,positive
it’s such a shame that the gabriel jesus goal was ruled offside he’s playing out of his skin at the moment and deserved that goal zinchenko played amazing today marteneli and jesus are always a threat and xhaka has been playing well consistently under his new role and ofc we gotta talk about saliba so young yet he plays like a veteran special mention to ben white who’s also been playing good at right back,positive
